filename,status,num_keypoints,group
plate_001.jpg,kept,452,unique
plate_002.jpg,kept,465,unique
plate_003.jpg,kept,449,unique
plate_004.jpg,kept,468,unique
plate_005.jpg,kept,475,unique
plate_006.jpg,kept,478,unique
plate_007.jpg,kept,491,unique
plate_008.jpg,kept,494,unique
plate_009.jpg,kept,500,unique
plate_010.jpg,kept,500,unique
plate_011.jpg,kept,500,unique
plate_012.jpg,kept,500,unique
plate_013.jpg,kept,500,unique
plate_021.jpg,kept,421,unique
plate_022.jpg,kept,427,unique
plate_023.jpg,kept,416,unique
plate_024.jpg,kept,421,unique
plate_025.jpg,kept,432,unique
plate_026.jpg,kept,428,unique
plate_027.jpg,kept,433,unique
plate_028.jpg,kept,443,unique
plate_029.jpg,kept,444,unique
plate_030.jpg,kept,448,unique
